Pokemon Name,Primary Type,Secondary Type,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Gen
"""Snubbull""","""Fairy""",,"""Gold""",60,80,50,40,40,30,300,Gen2
"""Granbull""","""Fairy""",,"""Gold""",90,120,75,60,60,45,450,Gen2
"""Qwilfish""","""Water""","""Poison""","""Gold""",65,95,85,55,55,85,440,Gen2
"""Qwilfish""","""Dark""","""Poison""","""Legends Arceus""",65,95,85,55,55,85,440,Gen8
"""Scizor""","""Bug""","""Steel""","""Gold""",70,130,100,55,80,65,500,Gen2
"""Scizor""","""Bug""","""Steel""","""X""",70,150,140,65,100,75,600,Gen6
"""Shuckle""","""Bug""","""Rock""","""Gold""",20,10,230,10,230,5,505,Gen2
"""Heracross""","""Bug""","""Fighting""","""Gold""",80,125,75,40,95,85,500,Gen2
"""Heracross""","""Bug""","""Fighting""","""X""",80,185,115,40,105,75,600,Gen6
"""Sneasel""","""Dark""","""Ice""","""Gold""",55,95,55,35,75,115,430,Gen2
"""Sneasel""","""Fighting""","""Poison""","""Legends Arceus""",55,95,55,35,75,115,430,Gen8
"""Teddiursa""","""Normal""",,"""Gold""",60,80,50,50,50,40,330,Gen2
"""Ursaring""","""Normal""",,"""Gold""",90,130,75,75,75,55,500,Gen2
"""Slugma""","""Fire""",,"""Gold""",40,40,40,70,40,20,250,Gen2
"""Magcargo""","""Fire""","""Rock""","""Gold""",60,50,120,90,80,30,430,Gen2
"""Swinub""","""Ice""","""Ground""","""Gold""",50,50,40,30,30,50,250,Gen2
"""Piloswine""","""Ice""","""Ground""","""Gold""",100,100,80,60,60,50,450,Gen2
"""Corsola""","""Water""","""Rock""","""Gold""",65,55,95,65,95,35,410,Gen2
"""Corsola""","""Ghost""",,"""Sword""",60,55,100,65,100,30,410,Gen8
"""Remoraid""","""Water""",,"""Gold""",35,65,35,65,35,65,300,Gen2
"""Octillery""","""Water""",,"""Gold""",75,105,75,105,75,45,480,Gen2
"""Delibird""","""Ice""","""Flying""","""Gold""",45,55,45,65,45,75,330,Gen2
"""Mantine""","""Water""","""Flying""","""Gold""",85,40,70,80,140,70,485,Gen2
"""Skarmory""","""Steel""","""Flying""","""Gold""",65,80,140,40,70,70,465,Gen2
"""Houndour""","""Dark""","""Fire""","""Gold""",45,60,30,80,50,65,330,Gen2
"""Houndoom""","""Dark""","""Fire""","""Gold""",75,90,50,110,80,95,500,Gen2
"""Houndoom""","""Dark""","""Fire""","""X""",75,90,90,140,90,115,600,Gen6
"""Kingdra""","""Water""","""Dragon""","""Gold""",75,95,95,95,95,85,540,Gen2
"""Phanpy""","""Ground""",,"""Gold""",90,60,60,40,40,40,330,Gen2
"""Donphan""","""Ground""",,"""Gold""",90,120,120,60,60,50,500,Gen2
"""Porygon2""","""Normal""",,"""Gold""",85,80,90,105,95,60,515,Gen2
"""Stantler""","""Normal""",,"""Gold""",73,95,62,85,65,85,465,Gen2
"""Smeargle""","""Normal""",,"""Gold""",55,20,35,20,45,75,250,Gen2
"""Tyrogue""","""Fighting""",,"""Gold""",35,35,35,35,35,35,210,Gen2
"""Hitmontop""","""Fighting""",,"""Gold""",50,95,95,35,110,70,455,Gen2
"""Smoochum""","""Ice""","""Psychic""","""Gold""",45,30,15,85,65,65,305,Gen2
"""Elekid""","""Electric""",,"""Gold""",45,63,37,65,55,95,360,Gen2
"""Magby""","""Fire""",,"""Gold""",45,75,37,70,55,83,365,Gen2
"""Miltank""","""Normal""",,"""Gold""",95,80,105,40,70,100,490,Gen2
"""Blissey""","""Normal""",,"""Gold""",255,10,10,75,135,55,540,Gen2
"""Raikou""","""Electric""",,"""Gold""",90,85,75,115,100,115,580,Gen2
"""Entei""","""Fire""",,"""Gold""",115,115,85,90,75,100,580,Gen2
"""Suicune""","""Water""",,"""Gold""",100,75,115,90,115,85,580,Gen2
"""Larvitar""","""Rock""","""Ground""","""Gold""",50,64,50,45,50,41,300,Gen2
"""Pupitar""","""Rock""","""Ground""","""Gold""",70,84,70,65,70,51,410,Gen2
"""Tyranitar""","""Rock""","""Dark""","""Gold""",100,134,110,95,100,61,600,Gen2
"""Tyranitar""","""Rock""","""Dark""","""X""",100,164,150,95,120,71,700,Gen6
"""Lugia""","""Psychic""","""Flying""","""Gold""",106,90,130,90,154,110,680,Gen2
"""Ho-Oh""","""Fire""","""Flying""","""Gold""",106,130,90,110,154,90,680,Gen2
"""Celebi""","""Psychic""","""Grass""","""Gold""",100,100,100,100,100,100,600,Gen2
"""Treecko""","""Grass""",,"""Ruby""",40,45,35,65,55,70,310,Gen3
"""Grovyle""","""Grass""",,"""Ruby""",50,65,45,85,65,95,405,Gen3
"""Sceptile""","""Grass""",,"""Ruby""",70,85,65,105,85,120,530,Gen3
"""Sceptile""","""Grass""","""Dragon""","""Omega Ruby""",70,110,75,145,85,145,630,Gen6
"""Torchic""","""Fire""",,"""Ruby""",45,60,40,70,50,45,310,Gen3
"""Combusken""","""Fire""","""Fighting""","""Ruby""",60,85,60,85,60,55,405,Gen3
"""Blaziken""","""Fire""","""Fighting""","""Ruby""",80,120,70,110,70,80,530,Gen3
"""Blaziken""","""Fire""","""Fighting""","""X""",80,160,80,130,80,100,630,Gen6
"""Mudkip""","""Water""",,"""Ruby""",50,70,50,50,50,40,310,Gen3
"""Marshtomp""","""Water""","""Ground""","""Ruby""",70,85,70,60,70,50,405,Gen3
"""Swampert""","""Water""","""Ground""","""Ruby""",100,110,90,85,90,60,535,Gen3
"""Swampert""","""Water""","""Ground""","""Omega Ruby""",100,150,110,95,110,70,635,Gen6
"""Poochyena""","""Dark""",,"""Ruby""",35,55,35,30,30,35,220,Gen3
"""Mightyena""","""Dark""",,"""Ruby""",70,90,70,60,60,70,420,Gen3
"""Zigzagoon""","""Normal""",,"""Ruby""",38,30,41,30,41,60,240,Gen3
"""Zigzagoon""","""Dark""","""Normal""","""Sword""",38,30,41,30,41,60,240,Gen8
"""Linoone""","""Normal""",,"""Ruby""",78,70,61,50,61,100,420,Gen3
"""Linoone""","""Dark""","""Normal""","""Sword""",78,70,61,50,61,100,420,Gen8
"""Wurmple""","""Bug""",,"""Ruby""",45,45,35,20,30,20,195,Gen3
"""Silcoon""","""Bug""",,"""Ruby""",50,35,55,25,25,15,205,Gen3
"""Beautifly""","""Bug""","""Flying""","""Ruby""",60,70,50,100,50,65,395,Gen3
"""Cascoon""","""Bug""",,"""Ruby""",50,35,55,25,25,15,205,Gen3
"""Dustox""","""Bug""","""Poison""","""Ruby""",60,50,70,50,90,65,385,Gen3
"""Lotad""","""Water""","""Grass""","""Ruby""",40,30,30,40,50,30,220,Gen3
"""Lombre""","""Water""","""Grass""","""Ruby""",60,50,50,60,70,50,340,Gen3
"""Ludicolo""","""Water""","""Grass""","""Ruby""",80,70,70,90,100,70,480,Gen3
"""Seedot""","""Grass""",,"""Ruby""",40,40,50,30,30,30,220,Gen3
"""Nuzleaf""","""Grass""","""Dark""","""Ruby""",70,70,40,60,40,60,340,Gen3
"""Shiftry""","""Grass""","""Dark""","""Ruby""",90,100,60,90,60,80,480,Gen3
"""Taillow""","""Normal""","""Flying""","""Ruby""",40,55,30,30,30,85,270,Gen3
"""Swellow""","""Normal""","""Flying""","""Ruby""",60,85,60,75,50,125,455,Gen3
"""Wingull""","""Water""","""Flying""","""Ruby""",40,30,30,55,30,85,270,Gen3
"""Pelipper""","""Water""","""Flying""","""Ruby""",60,50,100,95,70,65,440,Gen3
"""Ralts""","""Psychic""","""Fairy""","""Ruby""",28,25,25,45,35,40,198,Gen3
"""Kirlia""","""Psychic""","""Fairy""","""Ruby""",38,35,35,65,55,50,278,Gen3
"""Gardevoir""","""Psychic""","""Fairy""","""Ruby""",68,65,65,125,115,80,518,Gen3
"""Gardevoir""","""Psychic""","""Fairy""","""X""",68,85,65,165,135,100,618,Gen6
"""Surskit""","""Bug""","""Water""","""Ruby""",40,30,32,50,52,65,269,Gen3
"""Masquerain""","""Bug""","""Flying""","""Ruby""",70,60,62,100,82,80,454,Gen3
"""Shroomish""","""Grass""",,"""Ruby""",60,40,60,40,60,35,295,Gen3
"""Breloom""","""Grass""","""Fighting""","""Ruby""",60,130,80,60,60,70,460,Gen3
"""Slakoth""","""Normal""",,"""Ruby""",60,60,60,35,35,30,280,Gen3
"""Vigoroth""","""Normal""",,"""Ruby""",80,80,80,55,55,90,440,Gen3
"""Slaking""","""Normal""",,"""Ruby""",150,160,100,95,65,100,670,Gen3
"""Nincada""","""Bug""","""Ground""","""Ruby""",31,45,90,30,30,40,266,Gen3
"""Ninjask""","""Bug""","""Flying""","""Ruby""",61,90,45,50,50,160,456,Gen3
"""Shedinja""","""Bug""","""Ghost""","""Ruby""",1,90,45,30,30,40,236,Gen3
"""Whismur""","""Normal""",,"""Ruby""",64,51,23,51,23,28,240,Gen3
"""Loudred""","""Normal""",,"""Ruby""",84,71,43,71,43,48,360,Gen3
"""Exploud""","""Normal""",,"""Ruby""",104,91,63,91,73,68,490,Gen3
"""Makuhita""","""Fighting""",,"""Ruby""",72,60,30,20,30,25,237,Gen3
"""Hariyama""","""Fighting""",,"""Ruby""",144,120,60,40,60,50,474,Gen3
"""Azurill""","""Normal""","""Fairy""","""Ruby""",50,20,40,20,40,20,190,Gen3
"""Nosepass""","""Rock""",,"""Ruby""",30,45,135,45,90,30,375,Gen3
"""Skitty""","""Normal""",,"""Ruby""",50,45,45,35,35,50,260,Gen3
"""Delcatty""","""Normal""",,"""Ruby""",70,65,65,55,55,90,400,Gen3
"""Sableye""","""Dark""","""Ghost""","""Ruby""",50,75,75,65,65,50,380,Gen3
"""Sableye""","""Dark""","""Ghost""","""Omega Ruby""",50,85,125,85,115,20,480,Gen6
"""Mawile""","""Steel""","""Fairy""","""Ruby""",50,85,85,55,55,50,380,Gen3
"""Mawile""","""Steel""","""Fairy""","""X""",50,105,125,55,95,50,480,Gen6
"""Aron""","""Steel""","""Rock""","""Ruby""",50,70,100,40,40,30,330,Gen3
"""Lairon""","""Steel""","""Rock""","""Ruby""",60,90,140,50,50,40,430,Gen3
"""Aggron""","""Steel""","""Rock""","""Ruby""",70,110,180,60,60,50,530,Gen3
"""Aggron""","""Steel""",,"""X""",70,140,230,60,80,50,630,Gen6
"""Meditite""","""Fighting""","""Psychic""","""Ruby""",30,40,55,40,55,60,280,Gen3
"""Medicham""","""Fighting""","""Psychic""","""Ruby""",60,60,75,60,75,80,410,Gen3
"""Medicham""","""Fighting""","""Psychic""","""X""",60,100,85,80,85,100,510,Gen6
"""Electrike""","""Electric""",,"""Ruby""",40,45,40,65,40,65,295,Gen3
"""Manectric""","""Electric""",,"""Ruby""",70,75,60,105,60,105,475,Gen3
"""Manectric""","""Electric""",,"""X""",70,75,80,135,80,135,575,Gen6
"""Plusle""","""Electric""",,"""Ruby""",60,50,40,85,75,95,405,Gen3
"""Minun""","""Electric""",,"""Ruby""",60,40,50,75,85,95,405,Gen3
"""Volbeat""","""Bug""",,"""Ruby""",65,73,75,47,85,85,430,Gen3
"""Illumise""","""Bug""",,"""Ruby""",65,47,75,73,85,85,430,Gen3
"""Roselia""","""Grass""","""Poison""","""Ruby""",50,60,45,100,80,65,400,Gen3
"""Gulpin""","""Poison""",,"""Ruby""",70,43,53,43,53,40,302,Gen3
"""Swalot""","""Poison""",,"""Ruby""",100,73,83,73,83,55,467,Gen3
"""Carvanha""","""Water""","""Dark""","""Ruby""",45,90,20,65,20,65,305,Gen3
"""Sharpedo""","""Water""","""Dark""","""Ruby""",70,120,40,95,40,95,460,Gen3
"""Sharpedo""","""Water""","""Dark""","""Omega Ruby""",70,140,70,110,65,105,560,Gen6
"""Wailmer""","""Water""",,"""Ruby""",130,70,35,70,35,60,400,Gen3
"""Wailord""","""Water""",,"""Ruby""",170,90,45,90,45,60,500,Gen3
"""Numel""","""Fire""","""Ground""","""Ruby""",60,60,40,65,45,35,305,Gen3
"""Camerupt""","""Fire""","""Ground""","""Ruby""",70,100,70,105,75,40,460,Gen3
"""Camerupt""","""Fire""","""Ground""","""Omega Ruby""",70,120,100,145,105,20,560,Gen6
"""Torkoal""","""Fire""",,"""Ruby""",70,85,140,85,70,20,470,Gen3
"""Spoink""","""Psychic""",,"""Ruby""",60,25,35,70,80,60,330,Gen3
"""Grumpig""","""Psychic""",,"""Ruby""",80,45,65,90,110,80,470,Gen3
"""Spinda""","""Normal""",,"""Ruby""",60,60,60,60,60,60,360,Gen3
"""Trapinch""","""Ground""",,"""Ruby""",45,100,45,45,45,10,290,Gen3
"""Vibrava""","""Ground""","""Dragon""","""Ruby""",50,70,50,50,50,70,340,Gen3
"""Flygon""","""Ground""","""Dragon""","""Ruby""",80,100,80,80,80,100,520,Gen3
"""Cacnea""","""Grass""",,"""Ruby""",50,85,40,85,40,35,335,Gen3
"""Cacturne""","""Grass""","""Dark""","""Ruby""",70,115,60,115,60,55,475,Gen3
"""Swablu""","""Normal""","""Flying""","""Ruby""",45,40,60,40,75,50,310,Gen3
"""Altaria""","""Dragon""","""Flying""","""Ruby""",75,70,90,70,105,80,490,Gen3
"""Altaria""","""Dragon""","""Fairy""","""Omega Ruby""",75,110,110,110,105,80,590,Gen6
"""Zangoose""","""Normal""",,"""Ruby""",73,115,60,60,60,90,458,Gen3
"""Seviper""","""Poison""",,"""Ruby""",73,100,60,100,60,65,458,Gen3
"""Lunatone""","""Rock""","""Psychic""","""Ruby""",90,55,65,95,85,70,460,Gen3
"""Solrock""","""Rock""","""Psychic""","""Ruby""",90,95,85,55,65,70,460,Gen3
"""Barboach""","""Water""","""Ground""","""Ruby""",50,48,43,46,41,60,288,Gen3
"""Whiscash""","""Water""","""Ground""","""Ruby""",110,78,73,76,71,60,468,Gen3
"""Corphish""","""Water""",,"""Ruby""",43,80,65,50,35,35,308,Gen3
"""Crawdaunt""","""Water""","""Dark""","""Ruby""",63,120,85,90,55,55,468,Gen3
"""Baltoy""","""Ground""","""Psychic""","""Ruby""",40,40,55,40,70,55,300,Gen3
"""Claydol""","""Ground""","""Psychic""","""Ruby""",60,70,105,70,120,75,500,Gen3
"""Lileep""","""Rock""","""Grass""","""Ruby""",66,41,77,61,87,23,355,Gen3
"""Cradily""","""Rock""","""Grass""","""Ruby""",86,81,97,81,107,43,495,Gen3
"""Anorith""","""Rock""","""Bug""","""Ruby""",45,95,50,40,50,75,355,Gen3
"""Armaldo""","""Rock""","""Bug""","""Ruby""",75,125,100,70,80,45,495,Gen3
"""Feebas""","""Water""",,"""Ruby""",20,15,20,10,55,80,200,Gen3
"""Milotic""","""Water""",,"""Ruby""",95,60,79,100,125,81,540,Gen3
"""Milotic""","""Water""",,"""Ruby""",95,60,79,100,125,81,540,Gen3
"""Castform""","""Normal""",,"""Ruby""",70,70,70,70,70,70,420,Gen3
"""Castform""","""Fire""",,"""Ruby""",70,70,70,70,70,70,420,Gen3
"""Castform""","""Water""",,"""Ruby""",70,70,70,70,70,70,420,Gen3
"""Castform""","""Ice""",,"""Ruby""",70,70,70,70,70,70,420,Gen3
"""Kecleon""","""Normal""",,"""Ruby""",60,90,70,60,120,40,440,Gen3
"""Shuppet""","""Ghost""",,"""Ruby""",44,75,35,63,33,45,295,Gen3
"""Banette""","""Ghost""",,"""Ruby""",64,115,65,83,63,65,455,Gen3
"""Banette""","""Ghost""",,"""X""",64,165,75,93,83,75,555,Gen6
"""Duskull""","""Ghost""",,"""Ruby""",20,40,90,30,90,25,295,Gen3
"""Dusclops""","""Ghost""",,"""Ruby""",40,70,130,60,130,25,455,Gen3
"""Tropius""","""Grass""","""Flying""","""Ruby""",99,68,83,72,87,51,460,Gen3
"""Chimecho""","""Psychic""",,"""Ruby""",75,50,80,95,90,65,455,Gen3
"""Absol""","""Dark""",,"""Ruby""",65,130,60,75,60,75,465,Gen3
"""Absol""","""Dark""",,"""X""",65,150,60,115,60,115,565,Gen6
"""Wynaut""","""Psychic""",,"""Ruby""",95,23,48,23,48,23,260,Gen3
"""Snorunt""","""Ice""",,"""Ruby""",50,50,50,50,50,50,300,Gen3
"""Glalie""","""Ice""",,"""Ruby""",80,80,80,80,80,80,480,Gen3
"""Glalie""","""Ice""",,"""Omega Ruby""",80,120,80,120,80,100,580,Gen6
"""Spheal""","""Ice""","""Water""","""Ruby""",70,40,50,55,50,25,290,Gen3
"""Sealeo""","""Ice""","""Water""","""Ruby""",90,60,70,75,70,45,410,Gen3
"""Walrein""","""Ice""","""Water""","""Ruby""",110,80,90,95,90,65,530,Gen3
"""Clamperl""","""Water""",,"""Ruby""",35,64,85,74,55,32,345,Gen3
"""Huntail""","""Water""",,"""Ruby""",55,104,105,94,75,52,485,Gen3
"""Gorebyss""","""Water""",,"""Ruby""",55,84,105,114,75,52,485,Gen3
"""Relicanth""","""Water""","""Rock""","""Ruby""",100,90,130,45,65,55,485,Gen3
"""Luvdisc""","""Water""",,"""Ruby""",43,30,55,40,65,97,330,Gen3
"""Bagon""","""Dragon""",,"""Ruby""",45,75,60,40,30,50,300,Gen3
"""Shelgon""","""Dragon""",,"""Ruby""",65,95,100,60,50,50,420,Gen3
"""Salamence""","""Dragon""","""Flying""","""Ruby""",95,135,80,110,80,100,600,Gen3
"""Salamence""","""Dragon""","""Flying""","""Omega Ruby""",95,145,130,120,90,120,700,Gen6
"""Beldum""","""Steel""","""Psychic""","""Ruby""",40,55,80,35,60,30,300,Gen3
"""Metang""","""Steel""","""Psychic""","""Ruby""",60,75,100,55,80,50,420,Gen3
"""Metagross""","""Steel""","""Psychic""","""Ruby""",80,135,130,95,90,70,600,Gen3
"""Metagross""","""Steel""","""Psychic""","""Omega Ruby""",80,145,150,105,110,110,700,Gen6
"""Regirock""","""Rock""",,"""Ruby""",80,100,200,50,100,50,580,Gen3
"""Regice""","""Ice""",,"""Ruby""",80,50,100,100,200,50,580,Gen3
"""Registeel""","""Steel""",,"""Ruby""",80,75,150,75,150,50,580,Gen3
"""Latias""","""Dragon""","""Psychic""","""Ruby""",80,80,90,110,130,110,600,Gen3
"""Latias""","""Dragon""","""Psychic""","""Omega Ruby""",80,100,120,140,150,110,700,Gen6
"""Latios""","""Dragon""","""Psychic""","""Ruby""",80,90,80,130,110,110,600,Gen3
"""Latios""","""Dragon""","""Psychic""","""Omega Ruby""",80,130,100,160,120,110,700,Gen6
"""Kyogre""","""Water""",,"""Ruby""",100,100,90,150,140,90,670,Gen3
"""Kyogre""","""Water""",,"""Omega Ruby""",100,150,90,180,160,90,770,Gen6
"""Groudon""","""Ground""",,"""Ruby""",100,150,140,100,90,90,670,Gen3
"""Groudon""","""Ground""","""Fire""","""Omega Ruby""",100,180,160,150,90,90,770,Gen6
"""Rayquaza""","""Dragon""","""Flying""","""Ruby""",105,150,90,150,90,95,680,Gen3
"""Rayquaza""","""Dragon""","""Flying""","""Omega Ruby""",105,180,100,180,100,115,780,Gen6
"""Jirachi""","""Steel""","""Psychic""","""Ruby""",100,100,100,100,100,100,600,Gen3
"""Deoxys""","""Psychic""",,"""Ruby""",50,150,50,150,50,150,600,Gen3
"""Deoxys""","""Psychic""",,"""Fire Red""",50,180,20,180,20,150,600,Gen3
"""Deoxys""","""Psychic""",,"""Leaf Green""",50,70,160,70,160,90,600,Gen3
"""Deoxys""","""Psychic""",,"""Emerald""",50,95,90,95,90,180,600,Gen3
"""Turtwig""","""Grass""",,"""Diamond""",55,68,64,45,55,31,318,Gen4
"""Grotle""","""Grass""",,"""Diamond""",75,89,85,55,65,36,405,Gen4
"""Torterra""","""Grass""","""Ground""","""Diamond""",95,109,105,75,85,56,525,Gen4
"""Chimchar""","""Fire""",,"""Diamond""",44,58,44,58,44,61,309,Gen4
"""Monferno""","""Fire""","""Fighting""","""Diamond""",64,78,52,78,52,81,405,Gen4
"""Infernape""","""Fire""","""Fighting""","""Diamond""",76,104,71,104,71,108,534,Gen4
"""Piplup""","""Water""",,"""Diamond""",53,51,53,61,56,40,314,Gen4
"""Prinplup""","""Water""",,"""Diamond""",64,66,68,81,76,50,405,Gen4
"""Empoleon""","""Water""","""Steel""","""Diamond""",84,86,88,111,101,60,530,Gen4
"""Starly""","""Normal""","""Flying""","""Diamond""",40,55,30,30,30,60,245,Gen4
"""Staravia""","""Normal""","""Flying""","""Diamond""",55,75,50,40,40,80,340,Gen4
"""Staraptor""","""Normal""","""Flying""","""Diamond""",85,120,70,50,60,100,485,Gen4
"""Bidoof""","""Normal""",,"""Diamond""",59,45,40,35,40,31,250,Gen4
"""Bibarel""","""Normal""","""Water""","""Diamond""",79,85,60,55,60,71,410,Gen4
"""Kricketot""","""Bug""",,"""Diamond""",37,25,41,25,41,25,194,Gen4
"""Kricketune""","""Bug""",,"""Diamond""",77,85,51,55,51,65,384,Gen4
"""Shinx""","""Electric""",,"""Diamond""",45,65,34,40,34,45,263,Gen4
"""Luxio""","""Electric""",,"""Diamond""",60,85,49,60,49,60,363,Gen4
"""Luxray""","""Electric""",,"""Diamond""",80,120,79,95,79,70,523,Gen4
"""Budew""","""Grass""","""Poison""","""Diamond""",40,30,35,50,70,55,280,Gen4
"""Roserade""","""Grass""","""Poison""","""Diamond""",60,70,65,125,105,90,515,Gen4
"""Cranidos""","""Rock""",,"""Diamond""",67,125,40,30,30,58,350,Gen4
"""Rampardos""","""Rock""",,"""Diamond""",97,165,60,65,50,58,495,Gen4
"""Shieldon""","""Rock""","""Steel""","""Diamond""",30,42,118,42,88,30,350,Gen4
"""Bastiodon""","""Rock""","""Steel""","""Diamond""",60,52,168,47,138,30,495,Gen4
"""Burmy""","""Bug""",,"""Diamond""",40,29,45,29,45,36,224,Gen4
"""Burmy""","""Bug""",,"""Diamond""",40,29,45,29,45,36,224,Gen4
"""Burmy""","""Bug""",,"""Diamond""",40,29,45,29,45,36,224,Gen4
"""Wormadam""","""Bug""","""Grass""","""Diamond""",60,59,85,79,105,36,424,Gen4
"""Wormadam""","""Bug""","""Ground""","""Diamond""",60,79,105,59,85,36,424,Gen4
"""Wormadam""","""Bug""","""Steel""","""Diamond""",60,69,95,69,95,36,424,Gen4
"""Mothim""","""Bug""","""Flying""","""Diamond""",70,94,50,94,50,66,424,Gen4
"""Mothim""","""Bug""","""Flying""","""Diamond""",70,94,50,94,50,66,424,Gen4
"""Mothim""","""Bug""","""Flying""","""Diamond""",70,94,50,94,50,66,424,Gen4
"""Combee""","""Bug""","""Flying""","""Diamond""",30,30,42,30,42,70,244,Gen4
"""Vespiquen""","""Bug""","""Flying""","""Diamond""",70,80,102,80,102,40,474,Gen4
"""Pachirisu""","""Electric""",,"""Diamond""",60,45,70,45,90,95,405,Gen4
"""Buizel""","""Water""",,"""Diamond""",55,65,35,60,30,85,330,Gen4
"""Floatzel""","""Water""",,"""Diamond""",85,105,55,85,50,115,495,Gen4
"""Cherubi""","""Grass""",,"""Diamond""",45,35,45,62,53,35,275,Gen4
"""Cherrim""","""Grass""",,"""Diamond""",70,60,70,87,78,85,450,Gen4
"""Shellos""","""Water""",,"""Diamond""",76,48,48,57,62,34,325,Gen4
"""Shellos""","""Water""",,"""Diamond""",76,48,48,57,62,34,325,Gen4
"""Gastrodon""","""Water""","""Ground""","""Diamond""",111,83,68,92,82,39,475,Gen4
"""Gastrodon""","""Water""","""Ground""","""Diamond""",111,83,68,92,82,39,475,Gen4
"""Ambipom""","""Normal""",,"""Diamond""",75,100,66,60,66,115,482,Gen4
"""Drifloon""","""Ghost""","""Flying""","""Diamond""",90,50,34,60,44,70,348,Gen4
"""Drifblim""","""Ghost""","""Flying""","""Diamond""",150,80,44,90,54,80,498,Gen4
"""Buneary""","""Normal""",,"""Diamond""",55,66,44,44,56,85,350,Gen4
"""Lopunny""","""Normal""",,"""Diamond""",65,76,84,54,96,105,480,Gen4
"""Lopunny""","""Normal""","""Fighting""","""Omega Ruby""",65,136,94,54,96,135,580,Gen6
"""Mismagius""","""Ghost""",,"""Diamond""",60,60,60,105,105,105,495,Gen4
"""Honchkrow""","""Dark""","""Flying""","""Diamond""",100,125,52,105,52,71,505,Gen4
"""Glameow""","""Normal""",,"""Diamond""",49,55,42,42,37,85,310,Gen4
"""Purugly""","""Normal""",,"""Diamond""",71,82,64,64,59,112,452,Gen4
"""Chingling""","""Psychic""",,"""Diamond""",45,30,50,65,50,45,285,Gen4
"""Stunky""","""Poison""","""Dark""","""Diamond""",63,63,47,41,41,74,329,Gen4
"""Skuntank""","""Poison""","""Dark""","""Diamond""",103,93,67,71,61,84,479,Gen4
"""Bronzor""","""Steel""","""Psychic""","""Diamond""",57,24,86,24,86,23,300,Gen4
"""Bronzong""","""Steel""","""Psychic""","""Diamond""",67,89,116,79,116,33,500,Gen4
"""Bonsly""","""Rock""",,"""Diamond""",50,80,95,10,45,10,290,Gen4
"""Mime Jr.""","""Psychic""","""Fairy""","""Diamond""",20,25,45,70,90,60,310,Gen4
"""Happiny""","""Normal""",,"""Diamond""",100,5,5,15,65,30,220,Gen4
"""Chatot""","""Normal""","""Flying""","""Diamond""",76,65,45,92,42,91,411,Gen4
"""Spiritomb""","""Ghost""","""Dark""","""Diamond""",50,92,108,92,108,35,485,Gen4
"""Gible""","""Dragon""","""Ground""","""Diamond""",58,70,45,40,45,42,300,Gen4
"""Gabite""","""Dragon""","""Ground""","""Diamond""",68,90,65,50,55,82,410,Gen4
"""Garchomp""","""Dragon""","""Ground""","""Diamond""",108,130,95,80,85,102,600,Gen4
"""Garchomp""","""Dragon""","""Ground""","""X""",108,170,115,120,95,92,700,Gen6
"""Munchlax""","""Normal""",,"""Diamond""",135,85,40,40,85,5,390,Gen4
"""Riolu""","""Fighting""",,"""Diamond""",40,70,40,35,40,60,285,Gen4
"""Lucario""","""Fighting""","""Steel""","""Diamond""",70,110,70,115,70,90,525,Gen4
"""Lucario""","""Fighting""","""Steel""","""X""",70,145,88,140,70,112,625,Gen6
"""Hippopotas""","""Ground""",,"""Diamond""",68,72,78,38,42,32,330,Gen4
"""Hippowdon""","""Ground""",,"""Diamond""",108,112,118,68,72,47,525,Gen4
"""Skorupi""","""Poison""","""Bug""","""Diamond""",40,50,90,30,55,65,330,Gen4
"""Drapion""","""Poison""","""Dark""","""Diamond""",70,90,110,60,75,95,500,Gen4
"""Croagunk""","""Poison""","""Fighting""","""Diamond""",48,61,40,61,40,50,300,Gen4
"""Toxicroak""","""Poison""","""Fighting""","""Diamond""",83,106,65,86,65,85,490,Gen4
"""Carnivine""","""Grass""",,"""Diamond""",74,100,72,90,72,46,454,Gen4
"""Finneon""","""Water""",,"""Diamond""",49,49,56,49,61,66,330,Gen4
"""Lumineon""","""Water""",,"""Diamond""",69,69,76,69,86,91,460,Gen4
"""Mantyke""","""Water""","""Flying""","""Diamond""",45,20,50,60,120,50,345,Gen4
"""Snover""","""Grass""","""Ice""","""Diamond""",60,62,50,62,60,40,334,Gen4
"""Abomasnow""","""Grass""","""Ice""","""Diamond""",90,92,75,92,85,60,494,Gen4
"""Abomasnow""","""Grass""","""Ice""","""X""",90,132,105,132,105,30,594,Gen6
"""Weavile""","""Dark""","""Ice""","""Diamond""",70,120,65,45,85,125,510,Gen4
"""Magnezone""","""Electric""","""Steel""","""Diamond""",70,70,115,130,90,60,535,Gen4
"""Magnezone""","""Electric""","""Steel""","""Diamond""",70,70,115,130,90,60,535,Gen4
"""Lickilicky""","""Normal""",,"""Diamond""",110,85,95,80,95,50,515,Gen4
"""Rhyperior""","""Ground""","""Rock""","""Diamond""",115,140,130,55,55,40,535,Gen4
"""Tangrowth""","""Grass""",,"""Diamond""",100,100,125,110,50,50,535,Gen4
"""Electivire""","""Electric""",,"""Diamond""",75,123,67,95,85,95,540,Gen4
"""Magmortar""","""Fire""",,"""Diamond""",75,95,67,125,95,83,540,Gen4
"""Togekiss""","""Fairy""","""Flying""","""Diamond""",85,50,95,120,115,80,545,Gen4
