Pokemon Name,Primary Type,Secondary Type,Secondary Ability,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Ruby""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Ruby""",48,72,48,72,48,48,336
"""Wobbuffet""","""Psychic""",,,50,"""Gold""",190,33,58,33,58,33,405
"""Girafarig""","""Normal""","""Psychic""","""Early Bird""",50,"""Gold""",70,80,65,90,65,85,455
"""Pineco""","""Bug""",,,50,"""Gold""",50,65,90,35,35,15,290
"""Forretress""","""Bug""","""Steel""",,50,"""Gold""",75,90,140,60,60,40,465
"""Dunsparce""","""Normal""",,"""Run Away""",50,"""Gold""",100,70,70,65,65,45,415
"""Gligar""","""Ground""","""Flying""","""Sand Veil""",50,"""Gold""",65,75,105,35,65,85,430
"""Steelix""","""Steel""","""Ground""","""Sturdy""",50,"""Gold""",75,85,200,55,65,30,510
"""Steelix""","""Steel""","""Ground""",,70,"""Omega Ruby""",75,125,230,55,95,30,610
"""Snubbull""","""Fairy""",,"""Run Away""",50,"""Gold""",60,80,50,40,40,30,300
"""Granbull""","""Fairy""",,"""Quick Feet""",50,"""Gold""",90,120,75,60,60,45,450
"""Qwilfish""","""Water""","""Poison""","""Swift Swim""",50,"""Gold""",65,95,85,55,55,85,440
"""Qwilfish""","""Dark""","""Poison""","""Swift Swim""",50,"""Legends Arceus""",65,95,85,55,55,85,440
"""Scizor""","""Bug""","""Steel""","""Technician""",50,"""Gold""",70,130,100,55,80,65,500
"""Scizor""","""Bug""","""Steel""",,70,"""X""",70,150,140,65,100,75,600
"""Shuckle""","""Bug""","""Rock""","""Gluttony""",50,"""Gold""",20,10,230,10,230,5,505
"""Heracross""","""Bug""","""Fighting""","""Guts""",50,"""Gold""",80,125,75,40,95,85,500
"""Heracross""","""Bug""","""Fighting""",,70,"""X""",80,185,115,40,105,75,600
"""Sneasel""","""Dark""","""Ice""","""Keen Eye""",35,"""Gold""",55,95,55,35,75,115,430
"""Sneasel""","""Fighting""","""Poison""","""Keen Eye""",35,"""Legends Arceus""",55,95,55,35,75,115,430
"""Teddiursa""","""Normal""",,"""Quick Feet""",50,"""Gold""",60,80,50,50,50,40,330
"""Ursaring""","""Normal""",,"""Quick Feet""",50,"""Gold""",90,130,75,75,75,55,500
"""Slugma""","""Fire""",,"""Flame Body""",50,"""Gold""",40,40,40,70,40,20,250
"""Magcargo""","""Fire""","""Rock""","""Flame Body""",50,"""Gold""",60,50,120,90,80,30,430
"""Swinub""","""Ice""","""Ground""","""Snow Cloak""",50,"""Gold""",50,50,40,30,30,50,250
"""Piloswine""","""Ice""","""Ground""","""Snow Cloak""",50,"""Gold""",100,100,80,60,60,50,450
"""Corsola""","""Water""","""Rock""","""Natural Cure""",50,"""Gold""",65,55,95,65,95,35,410
"""Corsola""","""Ghost""",,,50,"""Sword""",60,55,100,65,100,30,410
"""Remoraid""","""Water""",,"""Sniper""",50,"""Gold""",35,65,35,65,35,65,300
"""Octillery""","""Water""",,"""Sniper""",50,"""Gold""",75,105,75,105,75,45,480
"""Delibird""","""Ice""","""Flying""",,50,"""Gold""",45,55,45,65,45,75,330
"""Mantine""","""Water""","""Flying""","""Water Absorb""",50,"""Gold""",85,40,70,80,140,70,485
"""Skarmory""","""Steel""","""Flying""","""Sturdy""",50,"""Gold""",65,80,140,40,70,70,465
"""Houndour""","""Dark""","""Fire""","""Flash Fire""",35,"""Gold""",45,60,30,80,50,65,330
"""Houndoom""","""Dark""","""Fire""","""Flash Fire""",35,"""Gold""",75,90,50,110,80,95,500
"""Houndoom""","""Dark""","""Fire""",,35,"""X""",75,90,90,140,90,115,600
"""Kingdra""","""Water""","""Dragon""","""Sniper""",50,"""Gold""",75,95,95,95,95,85,540
"""Phanpy""","""Ground""",,,50,"""Gold""",90,60,60,40,40,40,330
"""Donphan""","""Ground""",,,50,"""Gold""",90,120,120,60,60,50,500
"""Porygon2""","""Normal""",,"""Download""",50,"""Gold""",85,80,90,105,95,60,515
"""Stantler""","""Normal""",,"""Frisk""",50,"""Gold""",73,95,62,85,65,85,465
"""Smeargle""","""Normal""",,"""Technician""",50,"""Gold""",55,20,35,20,45,75,250
"""Tyrogue""","""Fighting""",,"""Steadfast""",50,"""Gold""",35,35,35,35,35,35,210
"""Hitmontop""","""Fighting""",,"""Technician""",50,"""Gold""",50,95,95,35,110,70,455
"""Smoochum""","""Ice""","""Psychic""","""Forewarn""",50,"""Gold""",45,30,15,85,65,65,305
"""Elekid""","""Electric""",,,50,"""Gold""",45,63,37,65,55,95,360
"""Magby""","""Fire""",,,50,"""Gold""",45,75,37,70,55,83,365
"""Miltank""","""Normal""",,"""Scrappy""",50,"""Gold""",95,80,105,40,70,100,490
"""Blissey""","""Normal""",,"""Serene Grace""",140,"""Gold""",255,10,10,75,135,55,540
"""Raikou""","""Electric""",,,35,"""Gold""",90,85,75,115,100,115,580
"""Entei""","""Fire""",,,35,"""Gold""",115,115,85,90,75,100,580
"""Suicune""","""Water""",,,35,"""Gold""",100,75,115,90,115,85,580
"""Larvitar""","""Rock""","""Ground""",,35,"""Gold""",50,64,50,45,50,41,300
"""Pupitar""","""Rock""","""Ground""",,35,"""Gold""",70,84,70,65,70,51,410
"""Tyranitar""","""Rock""","""Dark""",,35,"""Gold""",100,134,110,95,100,61,600
"""Tyranitar""","""Rock""","""Dark""",,35,"""X""",100,164,150,95,120,71,700
"""Lugia""","""Psychic""","""Flying""",,0,"""Gold""",106,90,130,90,154,110,680
"""Ho-Oh""","""Fire""","""Flying""",,0,"""Gold""",106,130,90,110,154,90,680
"""Celebi""","""Psychic""","""Grass""",,100,"""Gold""",100,100,100,100,100,100,600
"""Treecko""","""Grass""",,,50,"""Ruby""",40,45,35,65,55,70,310
"""Grovyle""","""Grass""",,,50,"""Ruby""",50,65,45,85,65,95,405
"""Sceptile""","""Grass""",,,50,"""Ruby""",70,85,65,105,85,120,530
"""Sceptile""","""Grass""","""Dragon""",,70,"""Omega Ruby""",70,110,75,145,85,145,630
"""Torchic""","""Fire""",,,50,"""Ruby""",45,60,40,70,50,45,310
"""Combusken""","""Fire""","""Fighting""",,50,"""Ruby""",60,85,60,85,60,55,405
"""Blaziken""","""Fire""","""Fighting""",,50,"""Ruby""",80,120,70,110,70,80,530
"""Blaziken""","""Fire""","""Fighting""",,70,"""X""",80,160,80,130,80,100,630
"""Mudkip""","""Water""",,,50,"""Ruby""",50,70,50,50,50,40,310
"""Marshtomp""","""Water""","""Ground""",,50,"""Ruby""",70,85,70,60,70,50,405
"""Swampert""","""Water""","""Ground""",,50,"""Ruby""",100,110,90,85,90,60,535
"""Swampert""","""Water""","""Ground""",,70,"""Omega Ruby""",100,150,110,95,110,70,635
"""Poochyena""","""Dark""",,"""Quick Feet""",50,"""Ruby""",35,55,35,30,30,35,220
"""Mightyena""","""Dark""",,"""Quick Feet""",50,"""Ruby""",70,90,70,60,60,70,420
"""Zigzagoon""","""Normal""",,"""Gluttony""",50,"""Ruby""",38,30,41,30,41,60,240
"""Zigzagoon""","""Dark""","""Normal""","""Gluttony""",50,"""Sword""",38,30,41,30,41,60,240
"""Linoone""","""Normal""",,"""Gluttony""",50,"""Ruby""",78,70,61,50,61,100,420
"""Linoone""","""Dark""","""Normal""","""Gluttony""",50,"""Sword""",78,70,61,50,61,100,420
"""Wurmple""","""Bug""",,,50,"""Ruby""",45,45,35,20,30,20,195
"""Silcoon""","""Bug""",,,50,"""Ruby""",50,35,55,25,25,15,205
"""Beautifly""","""Bug""","""Flying""",,50,"""Ruby""",60,70,50,100,50,65,395
"""Cascoon""","""Bug""",,,50,"""Ruby""",50,35,55,25,25,15,205
"""Dustox""","""Bug""","""Poison""",,50,"""Ruby""",60,50,70,50,90,65,385
"""Lotad""","""Water""","""Grass""","""Rain Dish""",50,"""Ruby""",40,30,30,40,50,30,220
"""Lombre""","""Water""","""Grass""","""Rain Dish""",50,"""Ruby""",60,50,50,60,70,50,340
"""Ludicolo""","""Water""","""Grass""","""Rain Dish""",50,"""Ruby""",80,70,70,90,100,70,480
"""Seedot""","""Grass""",,"""Early Bird""",50,"""Ruby""",40,40,50,30,30,30,220
"""Nuzleaf""","""Grass""","""Dark""","""Early Bird""",50,"""Ruby""",70,70,40,60,40,60,340
"""Shiftry""","""Grass""","""Dark""","""Wind Rider""",50,"""Ruby""",90,100,60,90,60,80,480
"""Taillow""","""Normal""","""Flying""",,50,"""Ruby""",40,55,30,30,30,85,270
"""Swellow""","""Normal""","""Flying""",,50,"""Ruby""",60,85,60,75,50,125,455
"""Wingull""","""Water""","""Flying""","""Hydration""",50,"""Ruby""",40,30,30,55,30,85,270
"""Pelipper""","""Water""","""Flying""","""Drizzle""",50,"""Ruby""",60,50,100,95,70,65,440
"""Ralts""","""Psychic""","""Fairy""","""Trace""",35,"""Ruby""",28,25,25,45,35,40,198
"""Kirlia""","""Psychic""","""Fairy""","""Trace""",35,"""Ruby""",38,35,35,65,55,50,278
"""Gardevoir""","""Psychic""","""Fairy""","""Trace""",35,"""Ruby""",68,65,65,125,115,80,518
"""Gardevoir""","""Psychic""","""Fairy""",,35,"""X""",68,85,65,165,135,100,618
"""Surskit""","""Bug""","""Water""",,50,"""Ruby""",40,30,32,50,52,65,269
"""Masquerain""","""Bug""","""Flying""",,50,"""Ruby""",70,60,62,100,82,80,454
"""Shroomish""","""Grass""",,"""Poison Heal""",50,"""Ruby""",60,40,60,40,60,35,295
"""Breloom""","""Grass""","""Fighting""","""Poison Heal""",50,"""Ruby""",60,130,80,60,60,70,460
"""Slakoth""","""Normal""",,,50,"""Ruby""",60,60,60,35,35,30,280
"""Vigoroth""","""Normal""",,,50,"""Ruby""",80,80,80,55,55,90,440
"""Slaking""","""Normal""",,,50,"""Ruby""",150,160,100,95,65,100,670
"""Nincada""","""Bug""","""Ground""",,50,"""Ruby""",31,45,90,30,30,40,266
"""Ninjask""","""Bug""","""Flying""",,50,"""Ruby""",61,90,45,50,50,160,456
"""Shedinja""","""Bug""","""Ghost""",,50,"""Ruby""",1,90,45,30,30,40,236
"""Whismur""","""Normal""",,,50,"""Ruby""",64,51,23,51,23,28,240
"""Loudred""","""Normal""",,,50,"""Ruby""",84,71,43,71,43,48,360
"""Exploud""","""Normal""",,,50,"""Ruby""",104,91,63,91,73,68,490
"""Makuhita""","""Fighting""",,"""Guts""",50,"""Ruby""",72,60,30,20,30,25,237
"""Hariyama""","""Fighting""",,"""Guts""",50,"""Ruby""",144,120,60,40,60,50,474
"""Azurill""","""Normal""","""Fairy""","""Huge Power""",50,"""Ruby""",50,20,40,20,40,20,190
"""Nosepass""","""Rock""",,"""Magnet Pull""",50,"""Ruby""",30,45,135,45,90,30,375
"""Skitty""","""Normal""",,"""Normalize""",50,"""Ruby""",50,45,45,35,35,50,260
"""Delcatty""","""Normal""",,"""Normalize""",50,"""Ruby""",70,65,65,55,55,90,400
"""Sableye""","""Dark""","""Ghost""","""Stall""",35,"""Ruby""",50,75,75,65,65,50,380
"""Sableye""","""Dark""","""Ghost""",,35,"""Omega Ruby""",50,85,125,85,115,20,480
"""Mawile""","""Steel""","""Fairy""","""Intimidate""",50,"""Ruby""",50,85,85,55,55,50,380
"""Mawile""","""Steel""","""Fairy""",,70,"""X""",50,105,125,55,95,50,480
"""Aron""","""Steel""","""Rock""","""Rock Head""",35,"""Ruby""",50,70,100,40,40,30,330
"""Lairon""","""Steel""","""Rock""","""Rock Head""",35,"""Ruby""",60,90,140,50,50,40,430
"""Aggron""","""Steel""","""Rock""","""Rock Head""",35,"""Ruby""",70,110,180,60,60,50,530
"""Aggron""","""Steel""",,,35,"""X""",70,140,230,60,80,50,630
"""Meditite""","""Fighting""","""Psychic""",,50,"""Ruby""",30,40,55,40,55,60,280
"""Medicham""","""Fighting""","""Psychic""",,50,"""Ruby""",60,60,75,60,75,80,410
"""Medicham""","""Fighting""","""Psychic""",,70,"""X""",60,100,85,80,85,100,510
"""Electrike""","""Electric""",,"""Lightning Rod""",50,"""Ruby""",40,45,40,65,40,65,295
"""Manectric""","""Electric""",,"""Lightning Rod""",50,"""Ruby""",70,75,60,105,60,105,475
"""Manectric""","""Electric""",,,70,"""X""",70,75,80,135,80,135,575
"""Plusle""","""Electric""",,,50,"""Ruby""",60,50,40,85,75,95,405
"""Minun""","""Electric""",,,50,"""Ruby""",60,40,50,75,85,95,405
"""Volbeat""","""Bug""",,"""Swarm""",50,"""Ruby""",65,73,75,47,85,85,430
"""Illumise""","""Bug""",,"""Tinted Lens""",50,"""Ruby""",65,47,75,73,85,85,430
"""Roselia""","""Grass""","""Poison""","""Poison Point""",50,"""Ruby""",50,60,45,100,80,65,400
"""Gulpin""","""Poison""",,"""Sticky Hold""",50,"""Ruby""",70,43,53,43,53,40,302
"""Swalot""","""Poison""",,"""Sticky Hold""",50,"""Ruby""",100,73,83,73,83,55,467
"""Carvanha""","""Water""","""Dark""",,35,"""Ruby""",45,90,20,65,20,65,305
"""Sharpedo""","""Water""","""Dark""",,35,"""Ruby""",70,120,40,95,40,95,460
"""Sharpedo""","""Water""","""Dark""",,35,"""Omega Ruby""",70,140,70,110,65,105,560
"""Wailmer""","""Water""",,"""Oblivious""",50,"""Ruby""",130,70,35,70,35,60,400
"""Wailord""","""Water""",,"""Oblivious""",50,"""Ruby""",170,90,45,90,45,60,500
"""Numel""","""Fire""","""Ground""","""Simple""",50,"""Ruby""",60,60,40,65,45,35,305
"""Camerupt""","""Fire""","""Ground""","""Solid Rock""",50,"""Ruby""",70,100,70,105,75,40,460
"""Camerupt""","""Fire""","""Ground""",,70,"""Omega Ruby""",70,120,100,145,105,20,560
"""Torkoal""","""Fire""",,"""Drought""",50,"""Ruby""",70,85,140,85,70,20,470
"""Spoink""","""Psychic""",,"""Own Tempo""",50,"""Ruby""",60,25,35,70,80,60,330
"""Grumpig""","""Psychic""",,"""Own Tempo""",50,"""Ruby""",80,45,65,90,110,80,470
"""Spinda""","""Normal""",,"""Tangled Feet""",50,"""Ruby""",60,60,60,60,60,60,360
"""Trapinch""","""Ground""",,"""Arena Trap""",50,"""Ruby""",45,100,45,45,45,10,290
"""Vibrava""","""Ground""","""Dragon""",,50,"""Ruby""",50,70,50,50,50,70,340
"""Flygon""","""Ground""","""Dragon""",,50,"""Ruby""",80,100,80,80,80,100,520
"""Cacnea""","""Grass""",,,35,"""Ruby""",50,85,40,85,40,35,335
"""Cacturne""","""Grass""","""Dark""",,35,"""Ruby""",70,115,60,115,60,55,475
"""Swablu""","""Normal""","""Flying""",,50,"""Ruby""",45,40,60,40,75,50,310
"""Altaria""","""Dragon""","""Flying""",,50,"""Ruby""",75,70,90,70,105,80,490
"""Altaria""","""Dragon""","""Fairy""",,70,"""Omega Ruby""",75,110,110,110,105,80,590
"""Zangoose""","""Normal""",,,50,"""Ruby""",73,115,60,60,60,90,458
"""Seviper""","""Poison""",,,50,"""Ruby""",73,100,60,100,60,65,458
"""Lunatone""","""Rock""","""Psychic""",,50,"""Ruby""",90,55,65,95,85,70,460
"""Solrock""","""Rock""","""Psychic""",,50,"""Ruby""",90,95,85,55,65,70,460
"""Barboach""","""Water""","""Ground""","""Anticipation""",50,"""Ruby""",50,48,43,46,41,60,288
"""Whiscash""","""Water""","""Ground""","""Anticipation""",50,"""Ruby""",110,78,73,76,71,60,468
"""Corphish""","""Water""",,"""Shell Armor""",50,"""Ruby""",43,80,65,50,35,35,308
"""Crawdaunt""","""Water""","""Dark""","""Shell Armor""",50,"""Ruby""",63,120,85,90,55,55,468
"""Baltoy""","""Ground""","""Psychic""",,50,"""Ruby""",40,40,55,40,70,55,300
"""Claydol""","""Ground""","""Psychic""",,50,"""Ruby""",60,70,105,70,120,75,500
"""Lileep""","""Rock""","""Grass""",,50,"""Ruby""",66,41,77,61,87,23,355
"""Cradily""","""Rock""","""Grass""",,50,"""Ruby""",86,81,97,81,107,43,495
"""Anorith""","""Rock""","""Bug""",,50,"""Ruby""",45,95,50,40,50,75,355
"""Armaldo""","""Rock""","""Bug""",,50,"""Ruby""",75,125,100,70,80,45,495
"""Feebas""","""Water""",,"""Oblivious""",50,"""Ruby""",20,15,20,10,55,80,200
"""Milotic""","""Water""",,"""Competitive""",50,"""Ruby""",95,60,79,100,125,81,540
"""Milotic""","""Water""",,"""Competitive""",50,"""Ruby""",95,60,79,100,125,81,540
"""Castform""","""Normal""",,,50,"""Ruby""",70,70,70,70,70,70,420
"""Castform""","""Fire""",,,50,"""Ruby""",70,70,70,70,70,70,420
"""Castform""","""Water""",,,50,"""Ruby""",70,70,70,70,70,70,420
"""Castform""","""Ice""",,,50,"""Ruby""",70,70,70,70,70,70,420
"""Kecleon""","""Normal""",,,50,"""Ruby""",60,90,70,60,120,40,440
"""Shuppet""","""Ghost""",,"""Frisk""",35,"""Ruby""",44,75,35,63,33,45,295
"""Banette""","""Ghost""",,"""Frisk""",35,"""Ruby""",64,115,65,83,63,65,455
"""Banette""","""Ghost""",,,35,"""X""",64,165,75,93,83,75,555
"""Duskull""","""Ghost""",,,35,"""Ruby""",20,40,90,30,90,25,295
"""Dusclops""","""Ghost""",,,35,"""Ruby""",40,70,130,60,130,25,455
"""Tropius""","""Grass""","""Flying""","""Solar Power""",50,"""Ruby""",99,68,83,72,87,51,460
"""Chimecho""","""Psychic""",,,50,"""Ruby""",75,50,80,95,90,65,455
"""Absol""","""Dark""",,"""Super Luck""",35,"""Ruby""",65,130,60,75,60,75,465
"""Absol""","""Dark""",,,35,"""X""",65,150,60,115,60,115,565
"""Wynaut""","""Psychic""",,,50,"""Ruby""",95,23,48,23,48,23,260
"""Snorunt""","""Ice""",,"""Ice Body""",50,"""Ruby""",50,50,50,50,50,50,300
"""Glalie""","""Ice""",,"""Ice Body""",50,"""Ruby""",80,80,80,80,80,80,480
"""Glalie""","""Ice""",,,70,"""Omega Ruby""",80,120,80,120,80,100,580
"""Spheal""","""Ice""","""Water""","""Ice Body""",50,"""Ruby""",70,40,50,55,50,25,290
"""Sealeo""","""Ice""","""Water""","""Ice Body""",50,"""Ruby""",90,60,70,75,70,45,410
"""Walrein""","""Ice""","""Water""","""Ice Body""",50,"""Ruby""",110,80,90,95,90,65,530
"""Clamperl""","""Water""",,,50,"""Ruby""",35,64,85,74,55,32,345
"""Huntail""","""Water""",,,50,"""Ruby""",55,104,105,94,75,52,485
"""Gorebyss""","""Water""",,,50,"""Ruby""",55,84,105,114,75,52,485
"""Relicanth""","""Water""","""Rock""","""Rock Head""",50,"""Ruby""",100,90,130,45,65,55,485
"""Luvdisc""","""Water""",,,50,"""Ruby""",43,30,55,40,65,97,330
"""Bagon""","""Dragon""",,,35,"""Ruby""",45,75,60,40,30,50,300
"""Shelgon""","""Dragon""",,,35,"""Ruby""",65,95,100,60,50,50,420
"""Salamence""","""Dragon""","""Flying""",,35,"""Ruby""",95,135,80,110,80,100,600
"""Salamence""","""Dragon""","""Flying""",,35,"""Omega Ruby""",95,145,130,120,90,120,700
"""Beldum""","""Steel""","""Psychic""",,35,"""Ruby""",40,55,80,35,60,30,300
"""Metang""","""Steel""","""Psychic""",,35,"""Ruby""",60,75,100,55,80,50,420
"""Metagross""","""Steel""","""Psychic""",,35,"""Ruby""",80,135,130,95,90,70,600
"""Metagross""","""Steel""","""Psychic""",,35,"""Omega Ruby""",80,145,150,105,110,110,700
"""Regirock""","""Rock""",,,35,"""Ruby""",80,100,200,50,100,50,580
"""Regice""","""Ice""",,,35,"""Ruby""",80,50,100,100,200,50,580
"""Registeel""","""Steel""",,,35,"""Ruby""",80,75,150,75,150,50,580
"""Latias""","""Dragon""","""Psychic""",,90,"""Ruby""",80,80,90,110,130,110,600
"""Latias""","""Dragon""","""Psychic""",,90,"""Omega Ruby""",80,100,120,140,150,110,700
"""Latios""","""Dragon""","""Psychic""",,90,"""Ruby""",80,90,80,130,110,110,600
"""Latios""","""Dragon""","""Psychic""",,90,"""Omega Ruby""",80,130,100,160,120,110,700
"""Kyogre""","""Water""",,,0,"""Ruby""",100,100,90,150,140,90,670
"""Kyogre""","""Water""",,,0,"""Omega Ruby""",100,150,90,180,160,90,770
"""Groudon""","""Ground""",,,0,"""Ruby""",100,150,140,100,90,90,670
"""Groudon""","""Ground""","""Fire""",,0,"""Omega Ruby""",100,180,160,150,90,90,770
"""Rayquaza""","""Dragon""","""Flying""",,0,"""Ruby""",105,150,90,150,90,95,680
"""Rayquaza""","""Dragon""","""Flying""",,0,"""Omega Ruby""",105,180,100,180,100,115,780
"""Jirachi""","""Steel""","""Psychic""",,100,"""Ruby""",100,100,100,100,100,100,600
"""Deoxys""","""Psychic""",,,0,"""Ruby""",50,150,50,150,50,150,600
"""Deoxys""","""Psychic""",,,0,"""Fire Red""",50,180,20,180,20,150,600
"""Deoxys""","""Psychic""",,,0,"""Leaf Green""",50,70,160,70,160,90,600
"""Deoxys""","""Psychic""",,,0,"""Emerald""",50,95,90,95,90,180,600
"""Turtwig""","""Grass""",,,50,"""Diamond""",55,68,64,45,55,31,318
"""Grotle""","""Grass""",,,50,"""Diamond""",75,89,85,55,65,36,405
"""Torterra""","""Grass""","""Ground""",,50,"""Diamond""",95,109,105,75,85,56,525
"""Chimchar""","""Fire""",,,50,"""Diamond""",44,58,44,58,44,61,309
"""Monferno""","""Fire""","""Fighting""",,50,"""Diamond""",64,78,52,78,52,81,405
"""Infernape""","""Fire""","""Fighting""",,50,"""Diamond""",76,104,71,104,71,108,534
"""Piplup""","""Water""",,,50,"""Diamond""",53,51,53,61,56,40,314
"""Prinplup""","""Water""",,,50,"""Diamond""",64,66,68,81,76,50,405
"""Empoleon""","""Water""","""Steel""",,50,"""Diamond""",84,86,88,111,101,60,530
"""Starly""","""Normal""","""Flying""",,50,"""Diamond""",40,55,30,30,30,60,245
"""Staravia""","""Normal""","""Flying""",,50,"""Diamond""",55,75,50,40,40,80,340
"""Staraptor""","""Normal""","""Flying""",,50,"""Diamond""",85,120,70,50,60,100,485
"""Bidoof""","""Normal""",,"""Unaware""",50,"""Diamond""",59,45,40,35,40,31,250
"""Bibarel""","""Normal""","""Water""","""Unaware""",50,"""Diamond""",79,85,60,55,60,71,410
"""Kricketot""","""Bug""",,,50,"""Diamond""",37,25,41,25,41,25,194
"""Kricketune""","""Bug""",,,50,"""Diamond""",77,85,51,55,51,65,384
"""Shinx""","""Electric""",,"""Intimidate""",50,"""Diamond""",45,65,34,40,34,45,263
"""Luxio""","""Electric""",,"""Intimidate""",100,"""Diamond""",60,85,49,60,49,60,363
"""Luxray""","""Electric""",,"""Intimidate""",50,"""Diamond""",80,120,79,95,79,70,523
"""Budew""","""Grass""","""Poison""","""Poison Point""",50,"""Diamond""",40,30,35,50,70,55,280
"""Roserade""","""Grass""","""Poison""","""Poison Point""",50,"""Diamond""",60,70,65,125,105,90,515
"""Cranidos""","""Rock""",,,50,"""Diamond""",67,125,40,30,30,58,350
"""Rampardos""","""Rock""",,,50,"""Diamond""",97,165,60,65,50,58,495
"""Shieldon""","""Rock""","""Steel""",,50,"""Diamond""",30,42,118,42,88,30,350
"""Bastiodon""","""Rock""","""Steel""",,50,"""Diamond""",60,52,168,47,138,30,495
"""Burmy""","""Bug""",,,50,"""Diamond""",40,29,45,29,45,36,224
"""Burmy""","""Bug""",,,50,"""Diamond""",40,29,45,29,45,36,224
"""Burmy""","""Bug""",,,50,"""Diamond""",40,29,45,29,45,36,224
"""Wormadam""","""Bug""","""Grass""",,50,"""Diamond""",60,59,85,79,105,36,424
"""Wormadam""","""Bug""","""Ground""",,50,"""Diamond""",60,79,105,59,85,36,424
"""Wormadam""","""Bug""","""Steel""",,50,"""Diamond""",60,69,95,69,95,36,424
"""Mothim""","""Bug""","""Flying""",,50,"""Diamond""",70,94,50,94,50,66,424
"""Mothim""","""Bug""","""Flying""",,50,"""Diamond""",70,94,50,94,50,66,424
"""Mothim""","""Bug""","""Flying""",,50,"""Diamond""",70,94,50,94,50,66,424
"""Combee""","""Bug""","""Flying""",,50,"""Diamond""",30,30,42,30,42,70,244
"""Vespiquen""","""Bug""","""Flying""",,50,"""Diamond""",70,80,102,80,102,40,474
"""Pachirisu""","""Electric""",,"""Pickup""",100,"""Diamond""",60,45,70,45,90,95,405
"""Buizel""","""Water""",,,50,"""Diamond""",55,65,35,60,30,85,330
"""Floatzel""","""Water""",,,50,"""Diamond""",85,105,55,85,50,115,495
"""Cherubi""","""Grass""",,,50,"""Diamond""",45,35,45,62,53,35,275
"""Cherrim""","""Grass""",,,50,"""Diamond""",70,60,70,87,78,85,450
"""Shellos""","""Water""",,"""Storm Drain""",50,"""Diamond""",76,48,48,57,62,34,325
"""Shellos""","""Water""",,"""Storm Drain""",50,"""Diamond""",76,48,48,57,62,34,325
"""Gastrodon""","""Water""","""Ground""","""Storm Drain""",50,"""Diamond""",111,83,68,92,82,39,475
"""Gastrodon""","""Water""","""Ground""","""Storm Drain""",50,"""Diamond""",111,83,68,92,82,39,475
"""Ambipom""","""Normal""",,"""Pickup""",100,"""Diamond""",75,100,66,60,66,115,482
"""Drifloon""","""Ghost""","""Flying""","""Unburden""",50,"""Diamond""",90,50,34,60,44,70,348
"""Drifblim""","""Ghost""","""Flying""","""Unburden""",50,"""Diamond""",150,80,44,90,54,80,498
"""Buneary""","""Normal""",,"""Klutz""",0,"""Diamond""",55,66,44,44,56,85,350
"""Lopunny""","""Normal""",,"""Klutz""",140,"""Diamond""",65,76,84,54,96,105,480
"""Lopunny""","""Normal""","""Fighting""",,140,"""Omega Ruby""",65,136,94,54,96,135,580
"""Mismagius""","""Ghost""",,,35,"""Diamond""",60,60,60,105,105,105,495
"""Honchkrow""","""Dark""","""Flying""","""Super Luck""",35,"""Diamond""",100,125,52,105,52,71,505
"""Glameow""","""Normal""",,"""Own Tempo""",50,"""Diamond""",49,55,42,42,37,85,310
"""Purugly""","""Normal""",,"""Own Tempo""",50,"""Diamond""",71,82,64,64,59,112,452
"""Chingling""","""Psychic""",,,50,"""Diamond""",45,30,50,65,50,45,285
"""Stunky""","""Poison""","""Dark""","""Aftermath""",50,"""Diamond""",63,63,47,41,41,74,329
"""Skuntank""","""Poison""","""Dark""","""Aftermath""",50,"""Diamond""",103,93,67,71,61,84,479
"""Bronzor""","""Steel""","""Psychic""","""Heatproof""",50,"""Diamond""",57,24,86,24,86,23,300
"""Bronzong""","""Steel""","""Psychic""","""Heatproof""",50,"""Diamond""",67,89,116,79,116,33,500
"""Bonsly""","""Rock""",,"""Rock Head""",50,"""Diamond""",50,80,95,10,45,10,290
"""Mime Jr.""","""Psychic""","""Fairy""","""Filter""",50,"""Diamond""",20,25,45,70,90,60,310
"""Happiny""","""Normal""",,"""Serene Grace""",140,"""Diamond""",100,5,5,15,65,30,220
